雄安新区有哪些大学	1	17
0 624.953125 360 182	http://mp.weixin.qq.com/s?src=11&timestamp=1623761836&ver=3132&signature=hCpZ*PDXKWGSzKrg-lozKQeoB6Lb7511HLHuhr1th5IGu3HJFKRL4Vnq44H734jewFDSI-y1ZyYwVMfSk*5qkI0*rfxou8nnPKsVZe8*BEf1DqoTkg-ZXNBg8FUpDEMN&new=1	11002601	2
0 812.953125 360 353	https://m.sogou.com/web/sl?channel=zhishi&pid=sogou-waps-2c6037040bf5058a&keyword=%E7%83%A7%E7%BB%93%E6%99%AE%E9%80%9A%E7%A0%96%E7%9A%84%E6%A0%87%E5%87%86%E5%B0%BA%E5%AF%B8%E6%98%AF%E5%A4%9A%E5%B0%91&g_f=11301026	30000202	3
0 1385.953125 360 187	https://zybang.com/question/7c2c9ce7e5eadbe9df6f7115338418cd.html	30000000	4
0 1578.953125 360 187	https://m.jiandati.com/q/1RvejmoL	30000000	5
0 1771.953125 360 160	http://m.zhufaner.com/s-mdi0mqyj2v5fqc.html	30000000	6
0 1937.953125 360 160	http://www.chaoximofen.com/zdsb/3481.html	30000000	7
0 2103.953125 360 187	https://m.xianjichina.com/special/detail_379022.html	30000000	8
0 2296.953125 360 187	https://m.ppkao.com/mip/tiku/shiti/8919226.html	30000000	9
0 2489.953125 360 187	https://m.shuashuati.com/ti/64821c4b11904765a0c630a2e1429ba0.html	30000000	10
0 2722.953125 360 187	https://m.shuashuati.com/ti/6b7d4fe90a514b30b344e5cc8822f8cf.html	30000909	11
0 2915.953125 360 203	http://m.iask.sina.com.cn/b/18231020.html?=1&vt=4	30000201	12
0 3124.953125 360 159	http://m.iask.sina.com.cn/b/1STMXxuEnODd.html?=1&vt=4	30000201	13
0 3503.953125 360 187	https://www.freetiku.com/view-1-xMPaKIaoyyRxw09k.html	30000000	14
0 3696.953125 360 187	http://m.zhufaner.com/s-jau6mww7cuumj2.html	30000000	15
0 3889.953125 360 182	https://wk.baidu.com/view/f495c668647d27284b735165?pcf=2	30010259	16
0 4077.953125 360 187	http://www.583316.com/ask/304027.html	30000000	17
0 4270.953125 360 269	http://zhinan.sogou.com/guide/detail/?id=316512855005	30010098	18
0 4545.953125 360 209	http://m.qizuang.com/baike/12650.html	30000909	19
0 4760.953125 360 143	https://m.asklib.com/view/e7a217680e88.html	30000000	20

砖胎膜用什么砖砌筑	1	19
0 102 360 252	http://baike.sogou.com/m/fullLemma?lid=7822425&fromTitle=%E7%A0%96%E8%83%8E%E8%86%9C	41110108	0
0 359.953125 360 182	http://m.zhuzhai.com/news/read-35572.html	30000909	1
0 547.953125 360 497	https://wapv.sogou.com/v?query=%E7%A0%96%E8%83%8E%E8%86%9C%E7%94%A8%E4%BB%80%E4%B9%88%E7%A0%96%E7%A0%8C%E7%AD%91&p=40230600&tab=video&ie=utf8&rawQuery=%E7%A0%96%E8%83%8E%E8%86%9C%E7%94%A8%E4%BB%80%E4%B9%88%E7%A0%96%E7%A0%8C%E7%AD%91&vrid=11000404	11000404	2
0 1051.140625 360 132	http://wenwen.sogou.com/z/q391517326.htm	30000201	3
0 1403.140625 360 160	https://www.bilibili.com/video/av55169712	30000000	4
0 1569.140625 360 160	https://haokan.baidu.com/v?pd=wisenatural&vid=12030670294501927058	30000000	5
0 1735.140625 360 116	https://www.zhihu.com/tardis/sogou/art/76569603	30010208	6
0 1857.140625 360 160	https://wk.baidu.com/view/ca22ad1580eb6294dd886cf2?pcf=2	30000000	7
0 2023.140625 360 182	https://wk.baidu.com/view/628ef1d0b9f3f90f76c61b96?pcf=2	30010259	8
0 2211.140625 360 187	https://3g.163.com/dy/article/E85KCC1Q0516S54J.html?spss=adap_pc	30000000	9
0 2404.140625 360 160	https://m.v.qq.com/play.html?&vid=a0892a0m3rb&ptag=v_qq_com%23v.play.adaptor%233	30000000	10
0 2610.140625 360 160	http://m.iask.sina.com.cn/jxwd/6iagZ1HfVTv.html?=1&vt=4	30000000	11
0 2776.140625 360 207	https://m.youku.com/video/id_XNDI4MTQ2OTU0MA==.html&source=	30010053	12
0 2988.75 360 160	https://www.xdyy8.com/tag/ztmgfynzz.html	30000000	13
0 3368.75 360 187	https://site.china.cn/menchuangguagou/4510891272.html	30000000	14
0 3561.75 360 209	https://m.zhuzhai.com/news/read-38729.html	30000909	15
0 3990.703125 360 160	https://www.bilibili.com/video/BV1ot411V7bJ/	30000000	16
0 4322.703125 360 187	https://m.zhulong.com/zt_sg/ctztmydzqhxzqdbj/	30000000	17
0 4515.703125 360 209	https://m.zhulong.com/zt_sg_3002264/detail42599529/	30000909	18

亮度最高的火焰区域是什么区？	1	19
0 102 360 187	http://www.bbxhyy.cn/article-216934.html	30000000	0
0 295 360 325	https://m.sogou.com/web/sl?channel=zhishi&pid=sogou-waps-2c6037040bf5058a&keyword=%E4%BA%AE%E5%BA%A6%E6%9C%80%E9%AB%98%E7%9A%84%E7%81%AB%E7%84%B0%E5%8C%BA%E5%9F%9F%E6%98%AF%E4%BB%80%E4%B9%88%E5%8C%BA%3F&g_f=11301026	30000202	1
0 626 360 181	http://m.iask.sina.com.cn/b/10483908.html?=1&vt=4	30000201	2
0 1027 360 187	https://m.hahawen.com/ge2019101743630.html	30000000	3
0 1220 360 187	https://m.shuashuati.com/ti/022c920e94e74fd7bf287dafcd3f98c4.html	30000909	4
0 1413 360 209	https://m.doc88.com/p-6042349626964.html	30010259	5
0 1842 360 209	https://wk.baidu.com/view/6b742d07e87101f69e319537?pcf=2	30010259	6
0 2057 360 209	https://wk.baidu.com/view/28ad730bc281e53a5902ff16?pcf=2	30010259	7
0 2272 360 187	https://www.ppkao.com/tiku/shiti/9997457.html	30000000	8
0 2505 360 182	https://www.ucbaike.com/etagid12918b0/	30000909	9
0 2693 360 165	https://www.docin.com/touch_new/preview_new.do?id=678971847	30000000	10
0 2864 360 160	https://m.idongde.com/q/s/2a4Aef62fE254947.shtml	30000000	11
0 3244 360 143	https://m.asklib.com/view/bb6bd9cf1f50.html	30000000	12
0 3393 360 160	https://www.iteye.com/resource/qq_39571318-10744087	30000000	13
0 3559 360 187	https://m.shuashuati.com/ti/1e40341e785a42879ae3cc70db931401.html	30000909	14
0 3752 360 176	http://wenwen.sogou.com/z/q855144364.htm	30000201	15
0 3934 360 132	http://wenwen.sogou.com/z/q118124158.htm	30000201	16
0 4072 360 176	http://wenwen.sogou.com/z/q728771164.htm	30000201	17
0 4254 360 176	http://wenwen.sogou.com/z/q819158448.htm	30000201	18

九一八事变发生于哪一年	1	18
0 102 360 226	http://baike.m.sogou.com/baike/fullLemma.jsp?max=&lid=167600&pid=sogouwap	21348901	0
0 333.953125 360 160	https://m.xuexila.com/baikezhishi/1329654.html	30000000	1
0 499.953125 360 182	http://mp.weixin.qq.com/s?src=3&timestamp=1623761866&ver=1&signature=8nl0D*FM1TSy1QBtwRT0GeJObIMG5PVhclkfQPATz1XXKRdiLbp*rHgZxizE5DWBfa6Sqs*aPvNJ*fs2*ZzUZhrXSwzz6V5-gqt*k4jiCBXaK7SM6BUtjzFXghNpj4Rzl35YxAgR2ELdcX2ynFm79A==	11002601	2
0 687.953125 360 299	https://wapv.sogou.com/v?query=%E4%B9%9D%E4%B8%80%E5%85%AB%E4%BA%8B%E5%8F%98%E5%8F%91%E7%94%9F%E4%BA%8E%E5%93%AA%E4%B8%80%E5%B9%B4&p=40230600&tab=video&ie=utf8&rawQuery=%E4%B9%9D%E4%B8%80%E5%85%AB%E4%BA%8B%E5%8F%98%E5%8F%91%E7%94%9F%E4%BA%8E%E5%93%AA%E4%B8%80%E5%B9%B4&vrid=11000404	11000404	3
0 1206.671875 360 209	http://mil.news.sina.com.cn/china/2018-09-18/doc-ifxeuwwr5429895.shtml	30000909	4
0 1421.671875 360 187	http://politics.people.com.cn/GB/8198/229344/index.html	30000000	5
0 1614.671875 360 187	http://www.syzssf.com/detailed/1119.html	30000000	6
0 1807.671875 360 203	http://wenwen.sogou.com/z/q856673464.htm	30000201	7
0 2016.671875 360 182	http://m.banbaowang.com/lishigushi/169042/	30000909	8
0 2506.625 360 187	http://www.583316.com/ask/22929.html	30000000	9
0 2699.625 360 203	http://wenda.tianya.cn/question/4b0d2c7b0358e6b0	30000201	10
0 2908.625 360 209	https://wannianli.tianqi.com/hot/655/	30000909	11
0 3123.625 360 160	http://m.liuxue86.com/k_%E4%B9%9D%E4%B8%80%E5%85%AB%E4%BA%8B%E5%8F%98%E6%98%AF%E5%93%AA%E4%B8%80%E5%B9%B4/	30000000	12
0 3503.625 360 143	https://tiku.afanti100.com/web/questiondetail/b988f759f7f979e53cf7d715d14134e1	30010134	13
0 3866.625 360 209	http://3g.d1xz.net/rili/jieri/art319587.aspx	30000909	14
0 4081.625 360 187	https://www.i847.cn/article/7538.html	30000000	15
0 4274.625 360 209	http://m.mnw.cn/news/view/2200607.html	30000909	16
0 4489.625 360 160	http://www.lyztb.com.cn/15427/.html	30000000	17

一个完整的测量系统由传感元件什么组成	1	20
0 102 360 491	https://m.sogou.com/web/sl?channel=zhishi&pid=sogou-waps-2c6037040bf5058a&keyword=%E4%B8%80%E4%B8%AA%E5%AE%8C%E6%95%B4%E7%9A%84%E6%B5%8B%E9%87%8F%E7%B3%BB%E7%BB%9F%E7%94%B1%E4%BC%A0%E6%84%9F%E5%85%83%E4%BB%B6%E4%BB%80%E4%B9%88%E7%BB%84%E6%88%90	30010125	0
0 599 360 187	https://m.asklib.com/view/36125e019724.html	30000000	1
0 792 360 187	https://www.docin.com/touch_new/preview_new.do?id=948112361	30000000	2
0 1199 360 187	https://wk.baidu.com/view/91eed1ef6aec0975f46527d3240c844768eaa076	30000000	3
0 1392 360 160	https://wk.baidu.com/view/dc655ac4dc88d0d233d4b14e852458fb770b388f	30000000	4
0 1558 360 209	https://m.doc88.com/p-0817191765187.html	30010259	5
0 1773 360 187	https://www.ppkao.com/tiku/shiti/4202994.html	30000000	6
0 1966 360 209	https://m.ishare.iask.sina.com.cn/f/22339155.html?=1&vt=4	30010259	7
0 2181 360 187	https://m.taodocs.com/p-42989583.html	30000000	8
0 2374 360 182	http://wk.baidu.com/view/970b80945fbfc77da369b13c	30010259	9
0 2602 360 203	http://wenwen.sogou.com/z/q659946925.htm	30000201	10
0 2811 360 203	https://zhidao.baidu.com/question/683455108488282612	30000201	11
0 3020 360 203	https://zhidao.baidu.com/question/1432034474465904219	30000201	12
0 3443 360 203	http://wenwen.sogou.com/z/q736321731.htm	30000201	13
0 3652 360 203	http://wenwen.sogou.com/z/q813893203.htm	30000201	14
0 3861 360 187	https://www.docin.com/touch_new/preview_new.do?id=605131804	30000000	15
0 4054 360 182	http://wk.baidu.com/view/970b80945fbfc77da369b13c	30010259	16
0 4242 360 207	https://wk.baidu.com/view/e9d9cee4d0d233d4b14e69bc	30010092	17
0 4455 360 209	https://wk.baidu.com/view/be65038c42323968011ca300a6c30c225801f000?pcf=2	30010259	18
0 4670 360 160	https://wk.baidu.com/view/9e04a41a4431b90d6c85c72c	30000000	19

标准节流装置包括哪几部分？	1	20
0 102 360 405	https://m.yebaike.com/22/389775.html	80020034	0
0 513 360 425	https://m.sogou.com/web/sl?channel=zhishi&pid=sogou-waps-2c6037040bf5058a&keyword=%E6%A0%87%E5%87%86%E8%8A%82%E6%B5%81%E8%A3%85%E7%BD%AE%E5%8C%85%E6%8B%AC%E5%93%AA%E5%87%A0%E9%83%A8%E5%88%86%3F	30010125	1
0 1158 360 182	https://wk.baidu.com/view/14fd7a0dbd64783e09122b86?pcf=2	30010259	2
0 1560 360 160	https://www.docin.com/touch_new/preview_new.do?id=16378433	30000000	3
0 1726 360 187	http://www.mwchati.cn/list14/281084.html	30000000	4
0 1919 360 187	https://m.shuashuati.com/ti/a2553f16409948ed8c972c184af84664.html	30000909	5
0 2112 360 187	http://www.hhhtjys.cn/article-126454.html	30000000	6
0 2305 360 187	https://www.ppkao.com/tiku/shiti/1162797.html	30000000	7
0 2498 360 187	http://www.oichati.cn/list1/155037.html	30000000	8
0 2691 360 187	https://www.wukong.com/question/6684961447929184523/	30000000	9
0 2924 360 269	http://zhinan.sogou.com/guide/detail/?id=316513151060	30010098	10
0 3199 360 187	https://www.7000s.cn/news/14394366.html	30000000	11
0 3392 360 187	https://www.mvtiku.cn/stk/108967.html	30000000	12
0 3585 360 187	http://www.judianjy.com/blog/show/01864617.html	30000000	13
0 3778 360 182	https://wk.baidu.com/view/d0f05dd726fff705cc170add?pcf=2	30010259	14
0 3966 360 182	https://wk.baidu.com/view/551d7c14f242336c1eb95e99?pcf=2	30010259	15
0 4368 360 160	https://www.ppkao.com/tiku/shiti/7745280.html	30000000	16
0 4534 360 187	https://www.ppkao.com/tiku/shiti/10648510.html	30000000	17
0 4727 360 187	http://www.jsgncl.org.cn/article-197770.html	30000000	18
0 4920 360 187	https://www.ohtiku.com/hot/2403.html	30000000	19

苏g是哪里的车牌	1	20
0 102 360 293	http://baike.sogou.com/v12411.htm	70124366	0
0 614.953125 360 325	https://m.sogou.com/web/sl?channel=zhishi&pid=sogou-waps-2c6037040bf5058a&keyword=%E8%8B%8Fg%E6%98%AF%E5%93%AA%E9%87%8C%E7%9A%84%E8%BD%A6%E7%89%8C&g_f=11301026	30000202	1
0 945.953125 360 209	http://m.xuexili.com/chepaihao/4084.html	30000909	2
0 1160.953125 360 187	http://www.360doc.com/content/20/0702/15/150887_921865400.shtml	30000000	3
0 1353.953125 360 209	http://mp.weixin.qq.com/s?src=3&timestamp=1623761823&ver=1&signature=QYDvIzG2BC2y3MhTcAoF911TtC1EVJYO3f-uQSAboLh7Y49oPbO7chky17bz-Z79xPNMIjMM4s5BVqNTlyTGlzHNKVJyanVMLhIWjz6U1HnhRF6cVsX6JufbrBbVYrobLeLJnRTLZfwou8Q-KhfCi99ccLOm*iBbswacaFzSPu4=	11002601	4
0 1568.953125 360 187	https://m.icauto.com.cn/baike/52/529168.html	30000000	5
0 1761.953125 360 187	http://m.chajiaotong.com/chepaihao/lianyungang.html	30000000	6
0 1954.953125 360 160	http://m.baichew.com/chepai/992.html	30000000	7
0 2120.953125 360 160	https://kuaibao.qq.com/s/20191220A0ILUA00?refer=spider	30000000	8
0 2286.953125 360 160	https://3g.china.com/auto/mip/51712.html	30000000	9
0 2492.953125 360 187	http://www.chelogo.com/chepai/1288.html	30000000	10
0 2899.953125 360 160	https://m.pcauto.com.cn/x/1916/19164560.html	30000000	11
0 3065.953125 360 160	http://mchepai.00cha.net/gsu.html	30000000	12
0 3231.953125 360 187	http://m.chinawutong.com/baike/126518.html	30000000	13
0 3424.953125 360 167	https://www.zhihu.com/tardis/sogou/ans/56584907	30010173	14
0 3597.953125 360 187	http://www.baichew.com/chepai/992.html	30000000	15
0 3790.953125 360 187	https://www.aicesu.cn/carcode/177.html	30000000	16
0 3983.953125 360 187	https://www.googlespeed.cn/carcode/177.html	30000000	17
0 4176.953125 360 187	https://a.xcar.com.cn/wenda/40599.html	30000000	18
0 4369.953125 360 176	http://wenwen.sogou.com/z/q653846455.htm	30000201	19

珠江路地铁站是几号线	1	20
0 102 360 252	http://baike.sogou.com/m/fullLemma?lid=139036522&fromTitle=%E7%8F%A0%E6%B1%9F%E8%B7%AF%E5%9C%B0%E9%93%81%E7%AB%99	41110108	0
0 621.90625 360 209	http://mp.weixin.qq.com/s?src=11&timestamp=1623761832&ver=3132&signature=QdBAlk7eIbiprN4Z5cBqWdy8e7t8tqoXSFXm94SyMkhnvRnSJQ9P6tJMTmiPs6Tit7fZp3DPefhgt5gKh4nRAJrZmFPiFZ-7W7wKsB-Y4vvuREm8DWN9ibH-xOvSp0H3&new=1	11002601	1
0 836.90625 360 165	https://mditie.mapbar.com/nanjing/7FW6nV8tl7hP_error	30000000	2
0 1221.90625 360 207	http://m.nj.bendibao.com/ditie/zd_zhujianglu.shtml	30000909	3
0 1434.515625 360 154	http://wenwen.sogou.com/z/q796681414.htm	30000201	4
0 1594.515625 360 187	https://m.mafengwo.cn/poi/54312696.html	30000000	5
0 1787.515625 360 299	https://wapv.sogou.com/v?query=%E7%8F%A0%E6%B1%9F%E8%B7%AF%E5%9C%B0%E9%93%81%E7%AB%99%E6%98%AF%E5%87%A0%E5%8F%B7%E7%BA%BF&p=40230600&tab=video&ie=utf8&rawQuery=%E7%8F%A0%E6%B1%9F%E8%B7%AF%E5%9C%B0%E9%93%81%E7%AB%99%E6%98%AF%E5%87%A0%E5%8F%B7%E7%BA%BF&vrid=11000404	11000404	6
0 2092.5 360 187	https://gs.ctrip.com/html5/you/asks/152/6149205.html	30000000	7
0 2285.5 360 209	https://dt.8684.cn/nj_z_8e981d43	30000909	8
0 2500.5 360 187	http://m.114piaowu.com/ditie_23	30000909	9
0 2733.5 360 187	https://m.dianping.com/review/392668456	30000000	10
0 2926.5 360 209	https://www.dthrb.com/thread-2891-1-1.html	30000909	11
0 3141.5 360 187	http://baike.ecrrc.com/1103_218.html	30000000	12
0 3548.5 360 187	https://www.weibo.com/3911558393/HrQMm1Br9	30000000	13
0 3741.5 360 160	https://mditie.mapbar.com/nanjing/station_7FW6nV8tl7hP	30000000	14
0 3907.5 360 398	https://m.sogou.com/web/searchList.jsp?insite=zhihu.com&pid=sogou-waps-21a38ed2ee0c2c08&query=%E7%8F%A0%E6%B1%9F%E8%B7%AF%E5%9C%B0%E9%93%81%E7%AB%99%E6%98%AF%E5%87%A0%E5%8F%B7%E7%BA%BF	30010244	15
0 4311.5 360 257	https://dy.163.com/article/FRI99LOR0517PB9K.html	30010302	16
0 4574.40625 360 187	http://m.gy.bendibao.com/ditie/zd_zhujiangluzhan.shtml	30000000	17
0 4767.40625 360 187	http://m.gz.bendibao.com/ditie/xl_218.shtml	30000000	18
0 4960.40625 360 209	http://m.8684.cn/guangzhou_l_b4a482e2	30000909	19

迎风流泪是什么原因	1	15
0 596.625 360 829	https://mingyi.sogou.com/fuwu/vr/11018001/juhe/qa?keyword=迎风流泪是什么原因&docid=25a7b94c57ff327c-4104792621f0ecb7-b40bc5606c764a0cd8ecbe0fae8f4103%2C25a7b94c57ff327c-4104792621f0ecb7-cc85bf4e61f5a1dc75dc5193e32f344f%2C7c4bdeee8b44a1df-cdf17873a1fdb7e2-57e85ff946a3600450897b1e6d0e06dd%2Ca10af6aa0a106de6-3de3b3d4103e8d05-7304864f220ebce0eaafbad08bca5493#qa	11018001	0
0 1431.625 360 546	https://mingyi.sogou.com/fuwu2/nf/similarDisease/index.html?pid=sogouwap&abtest=8&keyword=迎风流泪是什么原因	11024401	1
0 2197.625 360 374	https://weixin.sogou.com/weixinwap?ie=utf8&query=%E8%BF%8E%E9%A3%8E%E6%B5%81%E6%B3%AA%E6%98%AF%E4%BB%80%E4%B9%88%E5%8E%9F%E5%9B%A0&type=2&sourceid=weixinvr	11002501	2
0 2577.625 360 269	http://zhinan.sogou.com/guide/detail/?id=316513073071	30010098	3
0 2852.625 360 685	https://mingyi.sogou.com/hospital/guide/center?s=vr&from=vr70239006&channel=8533&query=迎风流泪是什么原因	70239006	4
0 3845.578125 360 206	https://m.baikemy.com/qa/sogou/44672585621557?extendId=45723	30010155	5
0 4057.578125 360 254	https://m.xinglinpukang.com/smip/audio/84681826.html	30010153	6
0 4317.578125 360 184	https://www.zhihu.com/tardis/sogou/art/35000083	30010208	7
0 4721.578125 360 206	https://wapask.39.net/sg/question/60504199.html	30010156	8
0 4933.578125 360 160	https://m.cnys.com/asks/27108.html	30000000	9
0 5099.578125 360 228	https://m.youlai.cn/a/video/353015.html	30010154	10
0 5333.578125 360 160	https://www.39yst.com/flist/1399919-1.html	30000000	11
0 5499.578125 360 187	https://www.familydoctor.com.cn/eye/a/201811/2523339.html	30000000	12
0 5692.578125 360 187	https://m.120ask.com/jingyan/8lwmrfsknewmrfwvo0.html	30000000	13
0 5885.578125 360 233	http://m.familydoctor.com.cn/ask/q/13193721.html	30010156	14

we世界冠军是什么比赛	1	18
0 102 360 263	https://m.yebaike.com/22/800304.html	80020014	0
0 371 360 326	https://m.sogou.com/web/searchList.jsp?insite=zhihu.com&pid=sogou-waps-21a38ed2ee0c2c08&query=we%E4%B8%96%E7%95%8C%E5%86%A0%E5%86%9B%E6%98%AF%E4%BB%80%E4%B9%88%E6%AF%94%E8%B5%9B	30010244	1
0 703 360 491	https://m.sogou.com/web/sl?channel=zhishi&pid=sogou-waps-2c6037040bf5058a&keyword=we%E4%B8%96%E7%95%8C%E5%86%A0%E5%86%9B%E6%98%AF%E4%BB%80%E4%B9%88%E6%AF%94%E8%B5%9B	30010125	2
0 1200 360 209	https://www.haosix.com/gonglue/5373	30000909	3
0 1629 360 299	https://wapv.sogou.com/v?query=we%E4%B8%96%E7%95%8C%E5%86%A0%E5%86%9B%E6%98%AF%E4%BB%80%E4%B9%88%E6%AF%94%E8%B5%9B&p=40230600&tab=video&ie=utf8&rawQuery=we%E4%B8%96%E7%95%8C%E5%86%A0%E5%86%9B%E6%98%AF%E4%BB%80%E4%B9%88%E6%AF%94%E8%B5%9B&vrid=11000404	11000404	4
0 1933.984375 360 187	http://v.qq.com/x/page/g0568xlponx.html	30000000	5
0 2126.984375 360 209	https://m.wca.com.cn/xwzx/539.html	30000909	6
0 2341.984375 360 160	http://lpl.qq.com/es/m/zixunDetail.htm?nid=8492	30000000	7
0 2507.984375 360 187	https://aranhafightbro.com/zixun/39555.html	30000000	8
0 2914.984375 360 160	https://m.zhai6.com/wenw/yx/64552.html	30000000	9
0 3120.984375 360 182	https://mgmb.fatiao.pro/sg_article/15106.html	30000909	10
0 3308.984375 360 187	https://igame.sogou.com/h5game/wap2/box/detail?id=2889061374230908445&gid=baea91680110f6dd5d5a7dcb6608edc5&name=%E8%8B%B1%E9%9B%84%E8%81%94%E7%9B%9F&attribute=news	30000909	11
0 3501.984375 360 187	https://m.dapidan.com/wenda/37515.html	30000000	12
0 3908.984375 360 257	https://m.sohu.com/a/296169718_120099889	30010302	13
0 4171.890625 360 187	https://m.zhai6.com/wenw/yx/64551.html	30000000	14
0 4626.84375 360 187	https://www.wukong.com/question/6774817489676140807/	30000000	15
0 5081.796875 360 203	http://wenwen.sogou.com/z/q855910703.htm	30000201	16
0 5290.796875 360 176	http://wenwen.sogou.com/z/q937102397.htm	30000201	17

雨字头加齐念什么	1	20
0 102 360 430	https://hanyu.sogou.com/result?query=雨字头加齐念什么&mzid=70230953	70230953	0
0 537.953125 360 425	https://m.sogou.com/web/sl?channel=zhishi&pid=sogou-waps-2c6037040bf5058a&keyword=%E9%9B%A8%E5%AD%97%E5%A4%B4%E5%8A%A0%E9%BD%90%E5%BF%B5%E4%BB%80%E4%B9%88	30010125	1
0 968.953125 360 160	https://mxuexi.zqnf.com/167607.html	30000000	2
0 1348.953125 360 299	https://wapv.sogou.com/v?query=%E9%9B%A8%E5%AD%97%E5%A4%B4%E5%8A%A0%E9%BD%90%E5%BF%B5%E4%BB%80%E4%B9%88&p=40230600&tab=video&ie=utf8&rawQuery=%E9%9B%A8%E5%AD%97%E5%A4%B4%E5%8A%A0%E9%BD%90%E5%BF%B5%E4%BB%80%E4%B9%88&vrid=11000404	11000404	3
0 1653.671875 360 187	https://www.zybang.com/question/a4c3dc4ab07adc6d739fa97b5f0f0dce.html	30000000	4
0 1846.671875 360 160	https://www.ajpsp.com/zuoye/12599471	30000000	5
0 2012.671875 360 187	https://www.ajpsp.com/zuoye/12599472	30000000	6
0 2205.671875 360 212	https://m.hahawen.com/shui2019717152841.html	30010092	7
0 2423.671875 360 189	https://www.zhihu.com/tardis/sogou/ans/1731948683	30010173	8
0 2618.671875 360 182	https://zhinan.sogou.com/guide/d316514100343.htm	30010096	9
0 2846.671875 360 182	https://wk.baidu.com/view/287ffe20910ef12d2bf9e7d9	30010259	10
0 3034.671875 360 182	https://wk.baidu.com/view/6e6e45acec630b1c59eef8c75fbfc77da3699756?pcf=2	30010259	11
0 3222.671875 360 209	https://m.idongde.com/q/s/9dfF63E05Da5EdaE.shtml	30000909	12
0 3651.671875 360 182	https://m.yw11.com/html/qiming/babyname/2017/0224/16892.html	30000909	13
0 3839.671875 360 257	https://m.sohu.com/a/279161937_469218	30010302	14
0 4102.578125 360 165	https://mxuexi.zqnf.com/2718159.html	30000000	15
0 4273.578125 360 187	https://mxuexi.zqnf.com/shui2019717152841.html	30000000	16
0 4466.578125 360 187	https://mxuexi.zqnf.com/yu2019106135145.html	30000000	17
0 4659.578125 360 160	https://www.zybang.com/question/33fe9386fd18836260e2a887b3725b4c.html	30000000	18
0 4825.578125 360 187	https://www.zybang.com/question/892124d205ba077d930bc7c57a709683.html	30000000	19

a2b2型化合物是什么	1	20
0 102 360 373	https://m.sogou.com/web/sl?channel=zhishi&pid=sogou-waps-2c6037040bf5058a&keyword=a2b2%E5%9E%8B%E5%8C%96%E5%90%88%E7%89%A9%E6%98%AF%E4%BB%80%E4%B9%88&g_f=11301026	30000202	0
0 481 360 159	https://zybang.com/question/16c65715e39f37f1f31bbad01c53a9e6.html	30000000	1
0 646 360 159	https://www.pkbff.com/tag/a2b2xinghuahewu.html	30000000	2
0 1024 360 185	https://www.zybang1.com/zuoye/11256591	30000000	3
0 1215 360 185	https://www.www66444.com.cn/zuoye/11256591	30000000	4
0 1406 360 185	http://m.79432.com/zuoye/5br6ct.html	30000000	5
0 1597 360 179	https://www.zybang.com/question/ebc588030ebc195dcaa59d0fea4d5bd2.html	30000201	6
0 1782 360 185	https://www.zybang.com/question/b51d6b8f232c685a724564d7da51c8e6.html	30000000	7
0 1973 360 185	https://zybang.com/question/e4daede3d9db44f9f3458a0359a4761a.html	30000000	8
0 2164 360 207	http://m.1010jiajiao.com/gzhx/shiti_id_4f585982c15dc779b4ba8dd7518b50b2/	30000909	9
0 2417 360 185	http://www.qihang.net/huaxue/41133.html	30000000	10
0 2608 360 185	https://www.yulucn.com/question/4041248652	30000000	11
0 2799 360 185	https://www.koolearn.com/shiti/st-1-1246595.html	30000000	12
0 3203 360 185	http://www.jyeoo.com/chemistry2/ques/detail/fb7e92a9-eaed-4575-927e-e92a67fb35c5	30000000	13
0 3394 360 185	https://tiku.afanti100.com/web/questiondetail/9714b6e8ba97786434cd9db2f7a259fd	30010134	14
0 3585 360 207	http://m.1010jiajiao.com/gzhx/shiti_id_31a564b8f390b9b2bd56b88e74a9a4d0/	30000909	15
0 3798 360 185	https://tiku.afanti100.com/web/questiondetail/eaa1f9486a5af5333e8e2dc24042ef08	30010134	16
0 3989 360 185	http://www.manfen5.com/stinfo/CZ_HX/SYS202011070624531593856250/	30000000	17
0 4180 360 185	https://m.shangxueba.com/ask/8737112.html	30000000	18
0 4371 360 181	https://m.med66.com/wujihuaxue/fm1706154600.shtml	30000909	19

david bowie卖了多少张专辑	1	20
0 102 360 207	http://ent.sina.cn/music/youmei/2016-01-12/detail-ifxnkkuv4426594.d.html	30000909	0
0 872 360 185	https://weibo.com/6914835132/Ji3Ps4Q0A	30000000	1
0 1276 360 269	https://wap.sogou.com/web/searchList.jsp?s_from=kmap_recommend&&rcer=W0jfHZrw&kmap_rank=4&keyword=%E9%82%93%E8%82%AF%C2%B7%E7%90%BC%E6%96%AF&innerid=37cbb8834adbaa9528fb5d8d090ebd95&entityid=39310720&zlfrank=4&htprequery=david%20bowie%E5%8D%96%E4%BA%86%E5%A4%9A%E5%B0%91%E5%BC%A0%E4%B8%93%E8%BE%91	50023801	2
0 1551.375 360 185	https://music.163.com/m/playlist?id=2722907517	30000909	3
0 1742.375 360 185	https://www.weibo.com/7347299344/J4WilyrFb	30000000	4
0 1933.375 360 165	https://www.zhihu.com/tardis/sogou/qus/34659432	30010173	5
0 2104.375 360 207	https://wk.baidu.com/view/b8ece4054a73f242336c1eb91a37f111f1850dee?pcf=2	30010259	6
